Assessment Name,Relative_URL,Remote Testing,Adaptive/IRT,Test Type,Assessment Length,description,languages,job levels
Financial Accounting ,https://www.shl.com/solutions/products/product-catalog/view/financial-accounting-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 9,"Multi-choice test that measures the ability to post journal entries, classify items into assets and liabilities, analyze financial statements and calculate financial ratios.","English (USA),","Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
Financial and Banking Services ,https://www.shl.com/solutions/products/product-catalog/view/financial-and-banking-services-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 9,"Multi-choice test that measures the knowledge of investment products, banking products, taxation and principles of Macroeconomics.","English (USA),","Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
Fire Engineering ,https://www.shl.com/solutions/products/product-catalog/view/fire-engineering-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 10,"Multi-choice test that measures the knowledge of fire engineering principles, basic workplace safety and safety management.","English (USA),","Graduate, Mid-Professional, Professional Individual Contributor,"
Following Instructions v1 - UK (R1),https://www.shl.com/solutions/products/product-catalog/view/following-instructions-v1-uk-r1/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 8,This test measures a candidate's ability to follow detailed instructions and then select the correct course of action. Candidates are presented with a set of rules and need to choose the appropriate response for various situations based on the rules given.,"English International,","Entry-Level, Front Line Manager, Mid-Professional, Professional Individual Contributor,"
Following Instructions v1 - US (R2),https://www.shl.com/solutions/products/product-catalog/view/following-instructions-v1-us-r2/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 8,This test measures a candidate's ability to follow detailed instructions and then select the correct course of action. Test takers are presented with a set of rules and need to choose the appropriate response for various situations based on the rules given.,"English (USA),","Entry-Level, Front Line Manager, Mid-Professional, Professional Individual Contributor,"
Food and Beverage Services ,https://www.shl.com/solutions/products/product-catalog/view/food-and-beverage-services-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 7,"Multi-choice test that measures the knowledge of meal planning, service preparation, types of service equipment, and types of beverages.","English (USA),","Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
Food Science ,https://www.shl.com/solutions/products/product-catalog/view/food-science-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 6,"Multi-choice test that measures the knowledge of food chemistry, nutrition, food microbiology, food engineering and food product technology.","English (USA),","Graduate, Mid-Professional, Professional Individual Contributor,"
Front Office Management ,https://www.shl.com/solutions/products/product-catalog/view/front-office-management-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 7,Multi-choice test that measures the knowledge of front office operations.,"English (USA),","Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,"
Fundamentals of Chemistry ,https://www.shl.com/solutions/products/product-catalog/view/fundamentals-of-chemistry-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 8,"Multi-choice test that measures the knowledge of physical chemistry, inorganic chemistry and organic chemistry.","English (USA),","Graduate, Mid-Professional, Professional Individual Contributor,"
Fundamentals of Physics ,https://www.shl.com/solutions/products/product-catalog/view/fundamentals-of-physics-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 8,"Multi-choice test that measures the knowledge of classical mechanics, Newton's laws of motion, electromagnetism, EM waves, thermodynamics and modern physics.","English (USA),","Graduate, Mid-Professional, Professional Individual Contributor,"
General Diseases ,https://www.shl.com/solutions/products/product-catalog/view/general-diseases-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 5,"Multi-choice test that measures the knowledge of common diseases of ear, nose, throat and teeth, their symptoms, drugs used to treat them and various drugs used to relieve pain.","English (USA),","Graduate, Mid-Professional, Professional Individual Contributor,"
Geoinformatics Engineering ,https://www.shl.com/solutions/products/product-catalog/view/geoinformatics-engineering-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 10,"Multi-choice test that measures the knowledge of remote sensing, digital image processing, digital photogrammetry, planning and surveying, geology, GIS and drilling Engineering.","English (USA),","Mid-Professional, Professional Individual Contributor, Supervisor, Entry-Level, Graduate,"
Geoscience Engineering ,https://www.shl.com/solutions/products/product-catalog/view/geoscience-engineering-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 8,"Multi-choice test that measures the knowledge of exploration geology, soil mechanics, rock mechanics, geophysical investigation, geological surveying.","English (USA),","Mid-Professional, Professional Individual Contributor, Graduate,"
GIT ,https://www.shl.com/solutions/products/product-catalog/view/git-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 13,Multi-choice test that measures the knowledge of how to use GIT for version control.,"English (USA),","Mid-Professional, Professional Individual Contributor,"
Global Skills Assessment,https://www.shl.com/solutions/products/product-catalog/view/global-skills-assessment/,available,unavailable,,Approximate Completion Time in minutes = 16,The Global Skills Assessment (GSA) is an assessment used to measure 96 discrete skills/behaviors. These 96 skill scores are directly aligned to the most discrete level of SHL’s Universal Competency Framework (UCF). The GSA measures self-reported behaviors an individual currently engages in. A person’s skills (sets of behavior) are malleable and may change over time. SHL utilizes GSA scores to understand what the participant reports they can do today.,"Indonesian, Italian, Swedish, Thai, Portuguese (Brazil), French (Canada), Chinese Simplified, Danish, Finnish, French, German, English International, Japanese, Korean, Latin American Spanish, Norwegian, Polish, Romanian, Spanish, Vietnamese, Chinese Traditional, Arabic, English (USA), Dutch, Portuguese, Turkish,",Not found
Graduate Scenarios,https://www.shl.com/solutions/products/product-catalog/view/graduate-scenarios/,available,unavailable,Biodata & Situational Judgement,Approximate Completion Time in minutes = Untimed,"Graduate Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in graduates; a group who typically has limited work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.

Reports available:

Graduate Scenarios Narrative Report:  A participant focused report that contains;  
 - Graduate Scenarios profile
 - Feedback report (with development tips) breaking down the overall Managerial judgement results into each of the 3 sub-scales; Managing Objectives, People Management and Corporate Management.

Graduate Scenarios Profile:  Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.","English International,","Manager, Mid-Professional, Professional Individual Contributor, Graduate,"
Graduate Scenarios Narrative Report,https://www.shl.com/solutions/products/product-catalog/view/graduate-scenarios-narrative-report/,available,unavailable,Biodata & Situational Judgement,,"Graduate Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in graduates; a group who typically has limited work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries. 

Reports available: 

Graduate Scenarios Narrative Report: A participant focused report that contains; 
- Graduate Scenarios profile 
- Feedback report (with development tips) breaking down the overall Managerial judgement results into each of the 3 sub-scales; Managing Objectives, People Management and Corporate Management. 

Graduate Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.",Not found,"Mid-Professional, Professional Individual Contributor, Manager, Graduate,"
Graduate Scenarios Profile Report,https://www.shl.com/solutions/products/product-catalog/view/graduate-scenarios-profile-report/,available,unavailable,Biodata & Situational Judgement,,"Graduate Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in graduates; a group who typically has limited work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries. 

Reports available: 

Graduate Scenarios Narrative Report: A participant focused report that contains; 
- Graduate Scenarios profile 
- Feedback report (with development tips) breaking down the overall Managerial judgement results into each of the 3 sub-scales; Managing Objectives, People Management and Corporate Management. 

Graduate Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.",Not found,"Graduate, Manager, Mid-Professional, Professional Individual Contributor,"
Hibernate ,https://www.shl.com/solutions/products/product-catalog/view/hibernate-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 5,"Multi-choice test that measures the knowledge of Hibernate architecture, Hibernate mapping and Hibernate query language(HQL).","English (USA),","Mid-Professional, Professional Individual Contributor,"
HIPAA (Security),https://www.shl.com/solutions/products/product-catalog/view/hipaa-security/,available,available,Knowledge & Skills,Approximate Completion Time in minutes = 15 to 35,"The HIPAA (Security) test measures knowledge of compliance with the standards required by the Security and Electronic Signature Standards as they apply to HIPAA. Designed for healthcare professionals and concentrating on nontechnical as well as technical aspects of the HIPAA Standards for Security and Electronic Signatures, this test covers the following topics: Computer Mechanisms, Computer Models, General Knowledge, Implementation, Medical Records, Organization, Security Basics, and Setup.","English (USA),","Front Line Manager, Manager,"
HiPo Assessment Report 1.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-assessment-report-1-0/,available,unavailable,,,"Part of SHL’s High Potential solution and developed from SHL’s extensive research into high-potential programs, the HIPO Assessment Report 1.0 helps organizations identify individuals with the strongest potential to succeed in senior and challenging roles. Using assessments such as the Motivation Questionnaire, OPQ, and Verify Cognitive Ability Tests, the report evaluates critical areas of aspiration, ability, and engagement. This version is used in regions where normed data for Verify Gen 1 and UCF 1 continue to provide the most relevant benchmarks, offering organizations proven insights for high-potential identification and talent development.",Not found,Not found
HiPo Assessment Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-assessment-report-2-0/,available,unavailable,,,"Part of SHL’s High Potential solution and developed from SHL’s extensive research into high-potential programs, the HIPO Assessment Report 2.0 helps organizations identify individuals with the strongest potential to succeed in senior and challenging roles. Using assessments such as the Motivation Questionnaire, OPQ, and Verify Cognitive Ability Tests, the report evaluates critical areas of aspiration, ability, and engagement. This report equips organizations with data-driven insights for identifying and developing future leaders, helping to ensure long-term organizational success.",Not found,Not found
HiPo Unlocking Potential Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-unlocking-potential-report-2-0/,available,unavailable,Competencies,,"This report draws insights from the Occupational Personality QuestionnaireTM (OPQ32). Used for individuals who are selected into a client’s HiPo program, it provides a detailed analysis of managerial and leadership potential.",Not found,Not found
Housekeeping ,https://www.shl.com/solutions/products/product-catalog/view/housekeeping-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 7,"Multi-choice test that measures the knowledge of housekeeping activities such as cleaning, laundry, room maintenance and routine checks.","English (USA),","Entry-Level, Front Line Manager, Supervisor,"
HTML/CSS ,https://www.shl.com/solutions/products/product-catalog/view/htmlcss-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 12,Multi-choice test that measures the knowledge of HTML to create a user interface and CSS to stylize it.,"English (USA),","Mid-Professional, Professional Individual Contributor,"
HTML5,https://www.shl.com/solutions/products/product-catalog/view/html5-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 11,Multi-choice test that measures the knowledge of HTML5 and its application in creating a user interface.,"English (USA),","Mid-Professional, Professional Individual Contributor,"
Human Resources ,https://www.shl.com/solutions/products/product-catalog/view/human-resources-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 8,"Multi-choice test that measures the candidate on his/her knowledge and understanding of the basic concepts of Human Resources Management like planning, training and development, performance appraisal, compensation management, etc. It also evaluates the candidate’s understanding of organizational behavior in different organizational structures.","English (USA),","Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
IBM DataStage ,https://www.shl.com/solutions/products/product-catalog/view/ibm-datastage-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 15,"Multi-choice test that measures the knowledge on the concepts of Data Warehouse fundamentals, DataStage fundamentals, DataStage stages and, DataStage Designer & Director.","English (USA),","Mid-Professional, Professional Individual Contributor,"
IBM Sterling Order Management System ,https://www.shl.com/solutions/products/product-catalog/view/ibm-sterling-order-management-system-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 13,"Multi-choice test that measures the knowledge of the basic concepts of Sterling Order Management System installation, modeling, extensibility, inventory reservations, etc.","English (USA),","Mid-Professional, Professional Individual Contributor,"
Industrial Engineering ,https://www.shl.com/solutions/products/product-catalog/view/industrial-engineering-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 9,"Multi-choice test that measures the conceptual knowledge of design, quality control, reliability, management and costing of manufacturing systems.","English (USA),","Graduate, Mid-Professional, Professional Individual Contributor,"
Informatica (Architecture) ,https://www.shl.com/solutions/products/product-catalog/view/informatica-architecture-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 10,"Multi-choice test that measures the knowledge of data warehousing, server architecture and administration, and real time implementation with Informatica.","English (USA),","Mid-Professional, Professional Individual Contributor,"
Informatica (Developer) ,https://www.shl.com/solutions/products/product-catalog/view/informatica-developer-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 11,"Multi-choice test that measures the knowledge of data warehousing, server architecture and administration, and real time implementation with Informatica.","English (USA),","Mid-Professional, Professional Individual Contributor,"
Jenkins ,https://www.shl.com/solutions/products/product-catalog/view/jenkins-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 6,"Multi-choice test that measures the knowledge of Jenkins configuration and deployment, plugins, nodes, build jobs and testing.","English (USA),","Mid-Professional, Professional Individual Contributor,"
Job Control Language ,https://www.shl.com/solutions/products/product-catalog/view/job-control-language-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 10,"Multi-choice test that measures the knowledge of JCL libraries, parameters, statements, datasets, generation of data groups and conditional processing.","English (USA),","Mid-Professional, Professional Individual Contributor,"
jQuery ,https://www.shl.com/solutions/products/product-catalog/view/jquery-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 10,"Multi-choice test that measures the knowledge of jQuery events and effects, jQuery animation, UI, references, and using jQuery with AJAX.","English (USA),","Mid-Professional, Professional Individual Contributor,"
Kubernetes ,https://www.shl.com/solutions/products/product-catalog/view/kubernetes-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 6,"Multi-choice test that measures the knowledge of the architecture, cluster and services of Kubernetes.","English (USA),","Mid-Professional, Professional Individual Contributor,"
Linux Administration ,https://www.shl.com/solutions/products/product-catalog/view/linux-administration-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 10,Multi-choice test that measures knowledge of the Linux operating system and its application in system administration and network administration.,"English (USA),","Mid-Professional, Professional Individual Contributor,"
Linux Operating System,https://www.shl.com/solutions/products/product-catalog/view/linux-operating-system/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 15,"Multi-choice test that measures the knowledge of Linux system, command line, filesystem, memory management, and process management.","English (USA),","Entry-Level, General Population, Graduate, Professional Individual Contributor,"
Linux Programming (General),https://www.shl.com/solutions/products/product-catalog/view/linux-programming-general/,available,available,Knowledge & Skills,Approximate Completion Time in minutes = 25,"The Linux Programming (General) test measures knowledge of programming in a Linux environment. Designed for experienced programmers, this test covers the following topics: AutoConf/AutoMake, Makefiles, C Programming, C++, Debugging Programs, Linux Programming Concepts, Platform Independence, Revision Control, RPC/CORBA, and X Programming.","English (USA),","Mid-Professional, Professional Individual Contributor,"
Load Runner ,https://www.shl.com/solutions/products/product-catalog/view/load-runner-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 6,"Multi-choice test that measures the knowledge on the concepts of Load Runner architecture & installation, virtual user generator (VUGEN), controller, monitoring scenario and result analysis.","English (USA),","Mid-Professional, Professional Individual Contributor,"
Management Scenarios,https://www.shl.com/solutions/products/product-catalog/view/management-scenarios/,available,unavailable,Biodata & Situational Judgement,Approximate Completion Time in minutes = Untimed,"Managerial Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.

Reports available:

Management Scenarios Narrative Report:  A participant focused report that contains;  
 - Management Scenarios profile
 - Detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Table of scores for each of the 6 style scales;  Big picture, Delegative, One-to-one, Team, Personal recognition and Company Protocol.
 - Detailed narrative feedback report (with development tips) for each of the 6 style scales.

Management Scenarios Candidate Report:  A report to share with the candidate that contains: 
 - Detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Table of scores for each of the 6 style scales;  Big picture, Delegative, One-to-one, Team, Personal recognition and Company Protocol.
 - Detailed narrative feedback report (with development tips) for each of the 6 style scales.

Management Scenarios Profile:  Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.","Italian, English International, Korean, Arabic,","Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor,"
Managerial Scenarios Candidate Report,https://www.shl.com/solutions/products/product-catalog/view/managerial-scenarios-candidate-report/,available,unavailable,Biodata & Situational Judgement,,"Managerial Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.

Reports available:

Management Scenarios Narrative Report:  A participant focused report that contains;  
 - Management Scenarios profile
 - Detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Table of scores for each of the 6 style scales;  Big picture, Delegative, One-to-one, Team, Personal recognition and Company Protocol.
 - Detailed narrative feedback report (with development tips) for each of the 6 style scales.

Management Scenarios Candidate Report:  A report to share with the candidate that contains: 
 - Detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Table of scores for each of the 6 style scales;  Big picture, Delegative, One-to-one, Team, Personal recognition and Company Protocol.
 - Detailed narrative feedback report (with development tips) for each of the 6 style scales.

Management Scenarios Profile:  Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.",Not found,"Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor,"
Managerial Scenarios Narrative Report,https://www.shl.com/solutions/products/product-catalog/view/managerial-scenarios-narrative-report/,available,unavailable,Biodata & Situational Judgement,,"Managerial Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.

Reports available:

Management Scenarios Narrative Report:  A participant focused report that contains;  
 - Management Scenarios profile
 - Detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Table of scores for each of the 6 style scales;  Big picture, Delegative, One-to-one, Team, Personal recognition and Company Protocol.
 - Detailed narrative feedback report (with development tips) for each of the 6 style scales.

Management Scenarios Candidate Report:  A report to share with the candidate that contains: 
 - Detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Table of scores for each of the 6 style scales;  Big picture, Delegative, One-to-one, Team, Personal recognition and Company Protocol.
 - Detailed narrative feedback report (with development tips) for each of the 6 style scales.

Management Scenarios Profile:  Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.",Not found,"Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor,"
Managerial Scenarios Profile Report,https://www.shl.com/solutions/products/product-catalog/view/managerial-scenarios-profile-report/,available,unavailable,Biodata & Situational Judgement,,"Managerial Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.

Reports available:

Management Scenarios Narrative Report:  A participant focused report that contains;  
 - Management Scenarios profile
 - Detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Table of scores for each of the 6 style scales;  Big picture, Delegative, One-to-one, Team, Personal recognition and Company Protocol.
 - Detailed narrative feedback report (with development tips) for each of the 6 style scales.

Management Scenarios Candidate Report:  A report to share with the candidate that contains: 
 - Detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Table of scores for each of the 6 style scales;  Big picture, Delegative, One-to-one, Team, Personal recognition and Company Protocol.
 - Detailed narrative feedback report (with development tips) for each of the 6 style scales.

Management Scenarios Profile:  Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.",Not found,"Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor,"
Manual Testing ,https://www.shl.com/solutions/products/product-catalog/view/manual-testing-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 10,"Multi-choice test that measures the knowledge of the software testing life cycle, testing tools and techniques, design of test cases and generation of test reports.","English (USA),","Mid-Professional, Professional Individual Contributor,"
Manufac. & Indust. - Mechanical & Vigilance 8.0,https://www.shl.com/solutions/products/product-catalog/view/mechanical-and-vigilance-focus-8-0/,available,unavailable,,Approximate Completion Time in minutes = 49,"The Manufacturing & Industrial Mechanical & Vigilance Focus 8.0 Job-Focused Assessment 
measures the behaviors that underlie successful and safe performance in an 
industrial/manufacturing setting. This solution assesses process monitoring, mechanical 
comprehension and other foundational behaviors including behaving safely in the workplace; 
applying domain-related expertise; offering practical solutions; and attending to multiple tasks.
Potential job titles that use this solution include: Machine and Equipment Operators, 
Assemblers and Fitters, Maintenance/Repair Workers, Surveillance, and Quality Assurance 
Workers.","English (USA),","Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor,"
Manufac. & Indust. - Safety & Dependability 8.0,https://www.shl.com/solutions/products/product-catalog/view/safety-and-dependability-focus-8-0/,available,unavailable,Personality & Behavior,Approximate Completion Time in minutes = 16,"The Manufacturing & Industrial Safety & Dependability Focus 8.0 Job-Focused Assessment 
measures the behaviors that underlie safe performance in a work setting. This solution 
assesses foundational behaviors including behaving safely in the workplace; complying with 
rules and regulations; applying domain-related expertise; and attending to multiple tasks.
Potential job titles that use this solution include: Machine and Equipment Operators, 
Laborers/Warehouse Workers, Assemblers & Fitters, Maintenance/Repair Workers, 
Dispatchers, Surveillance, Quality Assurance Workers, Material Handlers, and Truck/Ship 
Loaders","English (USA), German, Latin American Spanish, French, English International, Chinese Simplified, Italian, Japanese,","Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor,"
Manufacturing & Industrial - Essential Focus 8.0,https://www.shl.com/solutions/products/product-catalog/view/essential-focus-8-0/,available,unavailable,Personality & Behavior,Approximate Completion Time in minutes = 16,"The Manufacturing & Industrial Essential 8.0 Job-Focused Assessment measures the behaviors 
that underlie successful and safe performance in an industrial/manufacturing setting. This 
solution assesses foundational behaviors including behaving safely in the workplace; applying 
domain-related expertise; offering practical solutions; and attending to multiple tasks.
Potential job titles that use this solution include: Machining and Equipment Operators, 
Laborer/Warehouse, Assemblers and Fitters, Maintenance/Repair Workers, Dispatchers, 
Surveillance, Quality Assurance Workers, Material Handlers, and Truck/Ship Loaders.","English International, French, English (USA), Chinese Simplified, Italian, Japanese, Latin American Spanish, German,","Mid-Professional, Professional Individual Contributor, Entry-Level, Graduate, Manager,"
Manufacturing & Industrial - Mechanical Focus 8.0,https://www.shl.com/solutions/products/product-catalog/view/mechanical-focus-8-0/,available,unavailable,,Approximate Completion Time in minutes = 31,"The Manufacturing & Industrial Mechanical Focus 8.0 Job-Focused Assessment measures the 
behaviors that underlie successful and safe performance in an industrial/manufacturing 
setting. This solution assesses mechanical comprehension and other foundational behaviors 
including behaving safely in the workplace; applying domain-related expertise; offering 
practical solutions; and attending to multiple tasks.
Potential job titles that use this solution include: Machine and Equipment Operators, 
Assemblers and Fitters, and Maintenance/Repair Workers.","English (USA), English International, Italian, Japanese, Latin American Spanish, Chinese Simplified,","Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor,"
Manufacturing & Industrial - Vigilance Focus 8.0,https://www.shl.com/solutions/products/product-catalog/view/vigilance-focus-8-0/,available,unavailable,,Approximate Completion Time in minutes = 34,"The Manufacturing and Industrial Vigilance Focus 8.0 Job-Focused Assessment measures the 
behaviors that underlie successful and safe performance in an industrial/manufacturing 
setting. This solution assesses process monitoring and other foundational behaviors including 
behaving safely in the workplace; applying domain-related expertise; offering practical 
solutions; and attending to multiple tasks.
Potential job titles that use this solution include: Machine and Equipment Operators, 
Assemblers & Fitters, Maintenance/ Repair Workers, Dispatchers, Surveillance, Quality 
Assurance Workers","English (USA),","Entry-Level, Mid-Professional, Professional Individual Contributor, Graduate, Manager,"
Marketing ,https://www.shl.com/solutions/products/product-catalog/view/marketing-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 9,"Multi-choice test that measures the conceptual knowledge of marketing principles, market research, consumer behavior, brand management, sales management, channel management and advertisement management.","English (USA),","Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
Maven ,https://www.shl.com/solutions/products/product-catalog/view/maven-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 7,"Multi-choice test that measures the knowledge of Maven installation, dependencies, Project Object Model (POM), builds and plugins.","English (USA),","Mid-Professional, Professional Individual Contributor,"
Mechanical Engineering ,https://www.shl.com/solutions/products/product-catalog/view/mechanical-engineering-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 7,"Multi-choice test that measures the conceptual knowledge of fluid and machine mechanics, thermodynamics, IC engines and manufacturing science.","English (USA),","Graduate, Mid-Professional, Professional Individual Contributor,"
Mechatronics Engineering ,https://www.shl.com/solutions/products/product-catalog/view/mechatronics-engineering-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 19,"Multi-choice test that measures the knowledge related to basic mechatronics systems, components, sensors, feedback devices, control elements, actuators, computational elements and application of mechatronic systems.","English (USA),","Graduate, Mid-Professional, Professional Individual Contributor,"
Medical Terminology ,https://www.shl.com/solutions/products/product-catalog/view/medical-terminology-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 3,"Multi-choice test that measures the knowledge of different medical terms and abbreviations related to the human body, diseases and diagnosis.","English (USA),","Graduate, Mid-Professional, Professional Individual Contributor,"
Metallurgical Engineering ,https://www.shl.com/solutions/products/product-catalog/view/metallurgical-engineering-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 10,"Multi-choice test that measures the knowledge of process metallurgy, industrial metallurgy and physical metallurgy.","English (USA),","Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
MFS 360 Enterprise Leadership Report,https://www.shl.com/solutions/products/product-catalog/view/mfs-360-enterprise-leadership-report/,available,unavailable,Development & 360,,"The layout of this report follows the standard MFS 360 report but this is based on the Enterprise Leadership competency model, not the UCF model. The report text has been updated as well to reflect that.",Not found,Not found
MFS 360 UCF Group Report,https://www.shl.com/solutions/products/product-catalog/view/mfs-360-ucf-group-report/,available,unavailable,Development & 360,,"This report follows the standard layout of the 360 report but incorporates the average scores for a group of participants. The report can be generated for all participants on a project, or a dedicated group can be created in MFS for a group that includes participants across multiple projects. The report does not include the open questions even when they were part of the questionnaire. Developments tips are not available in this report.",Not found,Not found
